truetaxa,del13c,del13c_se,n,min,max,del13c_sd,del13c_var,genus,division
Hypnea sp. 1,-21.75,NA,1,-21.75,-21.75,NA,NA,Hypnea,Rhodophyta
Hypnea spicifera,-12.6233766234,NA,1,-12.62,-12.62,NA,NA,Hypnea,Rhodophyta
Hypnea spinella,-19.8,NA,1,-19.8,-19.8,NA,NA,Hypnea,Rhodophyta
Hypnea volubilis,-19.69,0.7427202255,3,-21.09,-18.56,1.2864291663,1.6549,Hypnea,Rhodophyta
Hypoglossum hypoglossoides,-33.35,NA,1,-33.35,-33.35,NA,NA,Hypoglossum,Rhodophyta
Iridaea cordata,-17.0016666667,0.6490013696,6,-19.6,-14.72,1.589722198,2.5272166667,Iridaea,Rhodophyta
Jania micrarthandia,-22.55,NA,1,-22.55,-22.55,NA,NA,Jania,Rhodophyta
Jania rosea,-20.4333333333,4.2399737945,3,-24.96,-11.96,7.3438500348,53.9321333333,Jania,Rhodophyta
Jania rubens,-18.13,5.56,2,-23.69,-12.57,7.8630274068,61.8272,Jania,Rhodophyta
Jania sagittatum,-18.37,NA,1,-18.37,-18.37,NA,NA,Jania,Rhodophyta
Jeannerettia lobata,-33.95,NA,1,-33.95,-33.95,NA,NA,Jeannerettia,Rhodophyta
Jeannerettia sp. 1,-27.8,NA,1,-27.8,-27.8,NA,NA,Jeannerettia,Rhodophyta
Kallymenia antarctica,-18.295,2.785,2,-21.08,-15.51,3.9385847712,15.51245,Kallymenia,Rhodophyta
Kallymenia sp. 1,-32.715,0.875,2,-33.59,-31.84,1.2374368671,1.53125,Kallymenia,Rhodophyta
Laurencia botryoides,-13.34,0.02,2,-13.36,-13.32,0.0282842712,0.0008,Laurencia,Rhodophyta
Laurencia hybrida,-14.06,0.51,2,-14.57,-13.55,0.7212489168,0.5202,Laurencia,Rhodophyta
Laurencia majuscula,-17.04,NA,1,-17.04,-17.04,NA,NA,Laurencia,Rhodophyta
Laurencia nipponica,-15.1,NA,1,-15.1,-15.1,NA,NA,Laurencia,Rhodophyta
Laurencia obtusa,-15,NA,1,-15,-15,NA,NA,Laurencia,Rhodophyta
Laurencia pacifica,-14.36,NA,1,-14.36,-14.36,NA,NA,Laurencia,Rhodophyta
Laurencia sp. 1,-15.5,NA,1,-15.5,-15.5,NA,NA,Laurencia,Rhodophyta
Laurencia sp. 2,-11,NA,1,-11,-11,NA,NA,Laurencia,Rhodophyta
Lemanea mamillosa,-40.37,1.1863051884,6,-43.54,-36.7,2.9058423908,8.44392,Lemanea,Rhodophyta
Lenormandia marginata,-23.25,0.8527445886,6,-25.7,-20.58,2.0887891229,4.36304,Lenormandia,Rhodophyta
Liagora viscida,-8.53,NA,1,-8.53,-8.53,NA,NA,Liagora,Rhodophyta
Liagoropsis schrammi,-18,NA,1,-18,-18,NA,NA,Liagoropsis,Rhodophyta
Lomentaria articulata,-29.32,0.8373917841,8,-31.87,-24.25,2.3685016361,5.6098,Lomentaria,Rhodophyta
Lomentaria catenata,-19.8,NA,1,-19.8,-19.8,NA,NA,Lomentaria,Rhodophyta
Lomentaria clavellosa,-33.69,NA,1,-33.69,-33.69,NA,NA,Lomentaria,Rhodophyta
Lomentaria sp. 1,-29.04,NA,1,-29.04,-29.04,NA,NA,Lomentaria,Rhodophyta
Lophocladia lallemandii,-27.8991596639,NA,1,-27.9,-27.9,NA,NA,Lophocladia,Rhodophyta
Mastocarpus alaskensis,-14.1131,NA,1,-14.11,-14.11,NA,NA,Mastocarpus,Rhodophyta
Mastocarpus cristatus,-20.2,NA,1,-20.2,-20.2,NA,NA,Mastocarpus,Rhodophyta
Mastocarpus jardiini,-16.9525,NA,1,-16.95,-16.95,NA,NA,Mastocarpus,Rhodophyta
Mastocarpus sp. 1,-20.89,NA,1,-20.89,-20.89,NA,NA,Mastocarpus,Rhodophyta
Mastocarpus sp. 2,-13.04,NA,1,-13.04,-13.04,NA,NA,Mastocarpus,Rhodophyta
Mastocarpus stellatus,-19.13,0.4198830246,19,-22.7,-15.4,1.8302276725,3.3497333333,Mastocarpus,Rhodophyta
Mastophoropsis canaliculata,-22.58,0.77,2,-23.35,-21.81,1.088944443,1.1858,Mastophoropsis,Rhodophyta
Mazzaella affinis,-20.6925,NA,1,-20.69,-20.69,NA,NA,Mazzaella,Rhodophyta
Mazzaella flaccida,-17.76,1.25,2,-19.01,-16.51,1.767766953,3.125,Mazzaella,Rhodophyta
Mazzaella parksii,-22.7175,NA,1,-22.72,-22.72,NA,NA,Mazzaella,Rhodophyta
Mazzaella splendens,-18.37,NA,1,-18.37,-18.37,NA,NA,Mazzaella,Rhodophyta
Membranoptera alata,-32.1747777778,0.8060056137,18,-34.43,-19.07,3.4195922109,11.6936108889,Membranoptera,Rhodophyta
Metamastophora flabellata,-15.04,NA,1,-15.04,-15.04,NA,NA,Metamastophora,Rhodophyta
Microcladia borealis,-20.2175,NA,1,-20.22,-20.22,NA,NA,Microcladia,Rhodophyta
Mychodea aciculare,-21.25,NA,1,-21.25,-21.25,NA,NA,Mychodea,Rhodophyta
Myriogramme crispata,-31.06,NA,1,-31.06,-31.06,NA,NA,Myriogramme,Rhodophyta
Myriogramme gunniana,-35.45,NA,1,-35.45,-35.45,NA,NA,Myriogramme,Rhodophyta
Myriogramme manginii,-33.1,NA,1,-33.1,-33.1,NA,NA,Myriogramme,Rhodophyta
Neogoniolithon Brassica-florida,-12.4,NA,1,-12.4,-12.4,NA,NA,Neogoniolithon,Rhodophyta
Neorhodomela larix,-20.582,0.3417513716,5,-21.39,-19.5,0.7641792983,0.58397,Neorhodomela,Rhodophyta
Neuroglossum delesseriae,-32.51,0.62,2,-33.13,-31.89,0.8768124087,0.7688,Neuroglossum,Rhodophyta
Nitophyllum pulchellum,-33.59,NA,1,-33.59,-33.59,NA,NA,Nitophyllum,Rhodophyta
Nitophyllum punctatum,-31.57,0.5120872322,3,-32.16,-30.55,0.886961104,0.7867,Nitophyllum,Rhodophyta
Odonthalia dentata,-25.5811111111,1.4615711147,9,-31.03,-16.9,4.3847133442,19.2257111111,Odonthalia,Rhodophyta
Opuntiella californica,-33.3275,0.4312264486,4,-34.54,-32.5,0.8624528973,0.743825,Opuntiella,Rhodophyta
Osmundaria prolifera,-25.98,NA,1,-25.98,-25.98,NA,NA,Osmundaria,Rhodophyta
Osmundaria sp. 1,-33.6,NA,1,-33.6,-33.6,NA,NA,Osmundaria,Rhodophyta
Osmundea pinnatifida,-15.6133333333,1.0678130677,12,-20.26,-9.72,3.6990129724,13.6826969697,Osmundea,Rhodophyta
Osmundea spectabilis,-16.3075,NA,1,-16.31,-16.31,NA,NA,Osmundea,Rhodophyta
Pachymenia lusoria,-13.86,0.22,2,-14.08,-13.64,0.3111269837,0.0968,Pachymenia,Rhodophyta
Palisada poiteaui,-11.8,NA,1,-11.8,-11.8,NA,NA,Palisada,Rhodophyta
Palmaria decipiens,-17.5557142857,2.7681004809,7,-31.39,-9.69,7.3237054764,53.6366619048,Palmaria,Rhodophyta
Palmaria palmata,-18.5181481481,0.7409345829,27,-33.94,-14.41,3.850009028,14.8225695157,Palmaria,Rhodophyta
Peyssonnelia inamoena,-13.5025,1.3193140579,4,-15.93,-9.77,2.6386281158,6.9623583333,Peyssonnelia,Rhodophyta
Peyssonnelia sp. 1,-20.1,2.2915372258,7,-32.71,-14.88,6.0628376195,36.758,Peyssonnelia,Rhodophyta
Peyssonnelia sp. 2,-17.43,1.59,2,-19.02,-15.84,2.2485995642,5.0562,Peyssonnelia,Rhodophyta
Peyssonnelia sp. 3,-12.7,NA,1,-12.7,-12.7,NA,NA,Peyssonnelia,Rhodophyta
Phacelocarpus peperocarpos,-33.2066666667,0.4723816724,3,-33.98,-32.35,0.8181890572,0.6694333333,Phacelocarpus,Rhodophyta
Phacelocarpus sp. 1,-34.16,NA,1,-34.16,-34.16,NA,NA,Phacelocarpus,Rhodophyta
Phycodrys antarctica,-32.565,1.135,2,-33.7,-31.43,1.6051323933,2.57645,Phycodrys,Rhodophyta
Phycodrys rubens,-33.9352631579,0.3869443713,19,-37,-30.89,1.6866514111,2.8447929825,Phycodrys,Rhodophyta
Phyllophora antarctica,-35.975,0.775,2,-36.75,-35.2,1.0960155108,1.20125,Phyllophora,Rhodophyta
Phyllophora crispa,-31.745,3.015,2,-34.76,-28.73,4.2638538906,18.18045,Phyllophora,Rhodophyta
Phymatolithon masonianum,-14.03,NA,1,-14.03,-14.03,NA,NA,Phymatolithon,Rhodophyta
Plocamium angustum,-32.27,0.4327335593,9,-34.16,-30.49,1.2982006779,1.685325,Plocamium,Rhodophyta
Plocamium cartilagineum,-32.9418518519,0.3283239128,27,-38.1,-29.14,1.7060210952,2.9105079772,Plocamium,Rhodophyta
Plocamium costata,-33.39,NA,1,-33.39,-33.39,NA,NA,Plocamium,Rhodophyta
Plocamium dilatatum,-33.4975,0.5365223667,4,-34.75,-32.27,1.0730447335,1.151425,Plocamium,Rhodophyta
Plocamium mertensii,-34.15,0.3995414038,3,-34.72,-33.38,0.6920260111,0.4789,Plocamium,Rhodophyta
Plocamium microcladioides,-30.95,NA,1,-30.95,-30.95,NA,NA,Plocamium,Rhodophyta
Plocamium preissianum,-34.145,0.405,2,-34.55,-33.74,0.5727564928,0.32805,Plocamium,Rhodophyta
Plocamium sp. 1,-32.5,NA,1,-32.5,-32.5,NA,NA,Plocamium,Rhodophyta
Plocamium sp. 2,-33.34,NA,1,-33.34,-33.34,NA,NA,Plocamium,Rhodophyta
Plocamium sp. 3,-31.14,NA,1,-31.14,-31.14,NA,NA,Plocamium,Rhodophyta
Plocamium sp. 4,-16.7,NA,1,-16.7,-16.7,NA,NA,Plocamium,Rhodophyta
Plocamium telfairiae,-33.7,NA,1,-33.7,-33.7,NA,NA,Plocamium,Rhodophyta
Plocamium violacum,-30.96,NA,1,-30.96,-30.96,NA,NA,Plocamium,Rhodophyta
Plumaria plumosa,-31.2033333333,0.4217555901,3,-31.98,-30.53,0.7305021104,0.5336333333,Plumaria,Rhodophyta
Pollexfenia lobata,-20.69,NA,1,-20.69,-20.69,NA,NA,Pollexfenia,Rhodophyta
Polycoelia laciniata,-28.33,NA,1,-28.33,-28.33,NA,NA,Polycoelia,Rhodophyta
Polyides rotunda,-16.0075,0.5615807303,4,-17.62,-15.01,1.1231614606,1.2614916667,Polyides,Rhodophyta
Polyopes constrictus,-23.92,NA,1,-23.92,-23.92,NA,NA,Polyopes,Rhodophyta
Polysiphonia brodiaei,-17.77,NA,1,-17.77,-17.77,NA,NA,Polysiphonia,Rhodophyta
Polysiphonia elongata,-20,1.6,2,-21.6,-18.4,2.2627416998,5.12,Polysiphonia,Rhodophyta
Polysiphonia fibrillosa,-24.61,NA,1,-24.61,-24.61,NA,NA,Polysiphonia,Rhodophyta
Polysiphonia fucoides,-14.47,NA,1,-14.47,-14.47,NA,NA,Polysiphonia,Rhodophyta
Polysiphonia lanosa,-20.695,0.4333342491,8,-22.8,-19.3,1.2256543442,1.5022285714,Polysiphonia,Rhodophyta
Polysiphonia nigra,-17.49,NA,1,-17.49,-17.49,NA,NA,Polysiphonia,Rhodophyta
Polysiphonia sp. 1,-23.15,2.95,2,-26.1,-20.2,4.171930009,17.405,Polysiphonia,Rhodophyta
Polysiphonia sp. 2,-18.8033333333,1.3550071751,3,-20.41,-16.11,2.3469412718,5.5081333333,Polysiphonia,Rhodophyta
Polysiphonia sp. 3,-20,NA,1,-20,-20,NA,NA,Polysiphonia,Rhodophyta
Polysiphonia sp. 4,-33.21,0.06,2,-33.27,-33.15,0.0848528137,0.0072,Polysiphonia,Rhodophyta
Polysiphonia stricta,-28.52,0.8352444752,3,-29.39,-26.85,1.4466858678,2.0929,Polysiphonia,Rhodophyta
Porphyra endiviifolium,-24.13,3.27,2,-27.4,-20.86,4.624478349,21.3858,Porphyra,Rhodophyta
Porphyra leucosticta,-18.75,NA,1,-18.75,-18.75,NA,NA,Porphyra,Rhodophyta
Porphyra perforata,-15.955,2.065,2,-18.02,-13.89,2.9203510063,8.52845,Porphyra,Rhodophyta
Porphyra purpurea,-20.27,NA,1,-20.27,-20.27,NA,NA,Porphyra,Rhodophyta
Porphyra sp. 1,-20.74,NA,1,-20.74,-20.74,NA,NA,Porphyra,Rhodophyta
Porphyra sp. 2,-18.195,1.785,2,-19.98,-16.41,2.5243712088,6.37245,Porphyra,Rhodophyta
Porphyra umbilicalis,-20.1988888889,0.432507047,9,-22.19,-18.39,1.2975211409,1.6835611111,Porphyra,Rhodophyta
Pterocladia capillacea,-32.96,NA,1,-32.96,-32.96,NA,NA,Pterocladia,Rhodophyta
Pterocladiella capillacea,-16.3242857143,0.776248172,7,-20.21,-14.5,2.0537596187,4.2179285714,Pterocladiella,Rhodophyta
Pterocladiella sp. 1,-18.86,NA,1,-18.86,-18.86,NA,NA,Pterocladiella,Rhodophyta
Pterosiphonia sp. 1,-14.04,NA,1,-14.04,-14.04,NA,NA,Pterosiphonia,Rhodophyta
Ptilonia australasica,-33.69,NA,1,-33.69,-33.69,NA,NA,Ptilonia,Rhodophyta
Ptilonia sp. 1,-31.88,NA,1,-31.88,-31.88,NA,NA,Ptilonia,Rhodophyta
Ptilonia subulifera,-36.22,NA,1,-36.22,-36.22,NA,NA,Ptilonia,Rhodophyta
Ptilophora mediterranea,-34.2,NA,1,-34.2,-34.2,NA,NA,Ptilophora,Rhodophyta
Ptilota gunneri,-32.5066666667,0.7462573283,9,-34.63,-27.02,2.2387719848,5.0121,Ptilota,Rhodophyta
Ptilota plumosa,-33.66,NA,1,-33.66,-33.66,NA,NA,Ptilota,Rhodophyta
Ptilota serrata,-34,NA,1,-34,-34,NA,NA,Ptilota,Rhodophyta
Rhodochorton sp. 1,-19.13,NA,1,-19.13,-19.13,NA,NA,Rhodochorton,Rhodophyta
Rhodomela confervoides,-23.06,0.79,2,-23.85,-22.27,1.1172287143,1.2482,Rhodomela,Rhodophyta
Rhodomela lycopodoides,-23.15,NA,1,-23.15,-23.15,NA,NA,Rhodomela,Rhodophyta
Rhodophyllis membranacea,-31.75,0.45,2,-32.2,-31.3,0.6363961031,0.405,Rhodophyllis,Rhodophyta
Rhodophyllis multipartita,-33.71,0.37,2,-34.08,-33.34,0.5232590181,0.2738,Rhodophyllis,Rhodophyta
Rhodophyllis sp. 1,-34.03,0.4,2,-34.43,-33.63,0.5656854249,0.32,Rhodophyllis,Rhodophyta
Rhodothamniella floridula,-16.39,NA,1,-16.39,-16.39,NA,NA,Rhodothamniella,Rhodophyta
Rhodymenia california,-29.8,NA,1,-29.8,-29.8,NA,NA,Rhodymenia,Rhodophyta
Rhodymenia pseudopalmata,-36.6,0.8,2,-37.4,-35.8,1.1313708499,1.28,Rhodymenia,Rhodophyta
Rhodymenia sp. 1,-29.18,NA,1,-29.18,-29.18,NA,NA,Rhodymenia,Rhodophyta
Rhodymenia sp. 2,-33.2733333333,0.2689072537,3,-33.6,-32.74,0.465761026,0.2169333333,Rhodymenia,Rhodophyta
Rytiphlaea tinctoria,-13.47,NA,1,-13.47,-13.47,NA,NA,Rytiphlaea,Rhodophyta
Sarcodia sp. 1,-34,NA,1,-34,-34,NA,NA,Sarcodia,Rhodophyta
Schizoseris hymenena,-34.16,NA,1,-34.16,-34.16,NA,NA,Schizoseris,Rhodophyta
Schizymenia dubyi,-24.1,NA,1,-24.1,-24.1,NA,NA,Schizymenia,Rhodophyta
Schizymenia pacifica,-18.46,NA,1,-18.46,-18.46,NA,NA,Schizymenia,Rhodophyta
Schottera nicaeensis,-32.7,NA,1,-32.7,-32.7,NA,NA,Schottera,Rhodophyta
Scinaia tsinglanensis,-23.64,NA,1,-23.64,-23.64,NA,NA,Scinaia,Rhodophyta
Solieria robusta,-17.39,NA,1,-17.39,-17.39,NA,NA,Solieria,Rhodophyta
Sonderopelta coriacea,-18.316,0.5425274187,5,-20.44,-17.54,1.2131281878,1.47168,Sonderopelta,Rhodophyta
Sphaerococcus coronopifolius,-33.3366666667,0.253135888,3,-33.74,-32.87,0.4384442192,0.1922333333,Sphaerococcus,Rhodophyta
Spongoclonium pastorale,-31.3,1.1,2,-32.4,-30.2,1.5556349186,2.42,Spongoclonium,Rhodophyta
Stenogramma interruptum,-33.8433333333,1.0537604619,3,-35.01,-31.74,1.8251666591,3.3312333333,Stenogramma,Rhodophyta
Symphyocladia latiuscula,-18.8,NA,1,-18.8,-18.8,NA,NA,Symphyocladia,Rhodophyta
Thamnoclonium dichotomum,-30.125,0.2679396698,6,-31.1,-29.41,0.6563154729,0.43075,Thamnoclonium,Rhodophyta
Trematocarpus antarcticus,-20.7,NA,1,-20.7,-20.7,NA,NA,Trematocarpus,Rhodophyta
Tricleocarpa cylindrica,-16.5,NA,1,-16.5,-16.5,NA,NA,Tricleocarpa,Rhodophyta
Tylotus obtusatus,-33.71,NA,1,-33.71,-33.71,NA,NA,Tylotus,Rhodophyta
Vertebrata lanosa,-21.28,1.2870120435,5,-25.7,-19.1,2.877846417,8.282,Vertebrata,Rhodophyta
Weeksia coccinea,-20.269,NA,1,-20.27,-20.27,NA,NA,Weeksia,Rhodophyta
Wrangelia sp. 1,-30,NA,1,-30,-30,NA,NA,Wrangelia,Rhodophyta
Wrightiella blodgetti,-32.24,NA,1,-32.24,-32.24,NA,NA,Wrightiella,Rhodophyta
Yamadaella caenomyce,-18.2,NA,1,-18.2,-18.2,NA,NA,Yamadaella,Rhodophyta
Amphibolis antarctica,-8.58,0.32,2,-8.9,-8.26,0.45254834,0.2048,Amphibolis,Tracheophyta
Amphibolis sp.,-13.7,0.76,2,-14.46,-12.94,1.0748023074,1.1552,Amphibolis,Tracheophyta
Cymodocea nodosa,-7.7277777778,0.2507251647,18,-9.9,-5.7,1.063736785,1.1315359477,Cymodocea,Tracheophyta
Cymodocea serrulata,-8.98,NA,1,-8.98,-8.98,NA,NA,Cymodocea,Tracheophyta
Cymodocea sp. 1,-5.6,NA,1,-5.6,-5.6,NA,NA,Cymodocea,Tracheophyta
Halophila ovata,-7.4,NA,1,-7.4,-7.4,NA,NA,Halophila,Tracheophyta
Halophila sp. 1,-7.36,NA,1,-7.36,-7.36,NA,NA,Halophila,Tracheophyta
Heterozostera tasmanica,-13.0681818182,NA,1,-13.07,-13.07,NA,NA,Heterozostera,Tracheophyta
Phyllospadix scouleri,-14.9066666667,0.8825405247,3,-16.15,-13.2,1.5286050286,2.3366333333,Phyllospadix,Tracheophyta
Posidonia oceanica,-13.5034957983,0.390620527,10,-16.2,-12.1,1.2352505663,1.5258439614,Posidonia,Tracheophyta
Ruppia maritima,-9.4,NA,1,-9.4,-9.4,NA,NA,Ruppia,Tracheophyta
Thalassia testudinum,-8.865,0.6602209226,4,-10.1,-7,1.3204418452,1.7435666667,Thalassia,Tracheophyta
Zostera marina,-10.9081481481,0.2699377564,27,-13.63,-8.34,1.4026377268,1.9673925926,Zostera,Tracheophyta
Zostera noltii,-12.0714285714,0.3167651118,7,-12.9,-10.3,0.8380817098,0.7023809524,Zostera,Tracheophyta
Zostera nova-zellandiae,-14.11,NA,1,-14.11,-14.11,NA,NA,Zostera,Tracheophyta
Zostera sp. 1,-9.48,1.1950871656,3,-11.87,-8.26,2.0699516903,4.2847,Zostera,Tracheophyta
Zostera sp. 2,-7.95,NA,1,-7.95,-7.95,NA,NA,Zostera,Tracheophyta
,20,,,,,,,,dummy
